Inspired by Marty Cagan
Agile Product Management with Scrum by Roman Pichler
My Product Management Toolkit by Marc Abraham
Product Roadmaps Relaunched by C. Todd Lombardo, Bruce McCarthy, and Evan Ryan
Cracking the PM Interview by Jackie Bavaro and Gayle Laakmann McDowell
The Product Book
Building Digital Products (2nd Edition)
The Product Manager's Survival Guide: Everything You Need to Know to Succeed as a Product Manager 
The Product Manager's Desk Reference (2nd Edition)  
Product Management for Dummies
​Competing against Luck by Clayton M. Christensen
Lean Enterprise by Jez Humble, Joanne Molesky, and Barry O'Reilly
Crossing the Chasm by Geoffrey A. Moore
The Hard Thing about Hard Things by Ben Horowitz
ReWork by Jason Fried and David Heinemeier Hansson
Blue Ocean Strategy by W. Chan Kim and Renée Mauborgne
Radical Focus by Christina Wodtke
​Remote by Jason Fried and David Heinemeier Hansson
Good Strategy Bad Strategy by Richard Rumelt
​Unlearn by ​Barry O'Reilly
Angel by Jason Calacanis
Crossing the Chasm by Geoffrey A. Moore. 
7 Powers: The Foundations of Business Strategy by Hamilton Helmer
Meaningful: The Story of Ideas That Fly
Inside the Tornado: Strategies for Developing, Leveraging, and Surviving Hypergrowth Markets  
